model_name,num_cases,avg_bleu,avg_rouge1,avg_rouge2,avg_rougeL,avg_semantic_similarity,avg_response_time,total_time,avg_precision,avg_recall,avg_f1,overall_score,embedding_model,vector_db,collection,evaluation_date
gemma2:9b,50,0.0934936166523189,0.3255936118627748,0.17878505566448155,0.24394582994678463,0.7322490453720093,54.991250085830686,2749.5625042915344,0.545138888888889,0.7395833333333334,0.6076388888888888,0.36281940306051197,intfloat/e5-large-v2,ChromaDB,financial_regulations_e5,2025-11-06 15:22:21
mistral:7b-instruct,50,0.07139533468493929,0.29097758762778164,0.1475125298859923,0.21084434562405568,0.6735754108428955,42.2057753944397,2110.288769721985,0.545138888888889,0.7395833333333334,0.6076388888888888,0.32429407694173373,intfloat/e5-large-v2,ChromaDB,financial_regulations_e5,2025-11-06 15:22:21
llama3.2:3b,50,0.06486643104235303,0.26310595214705956,0.1344779860384516,0.2011911071071161,0.6625176596641541,13.16460081100464,658.2300405502319,0.545138888888889,0.7395833333333334,0.6076388888888888,0.31160439625696673,intfloat/e5-large-v2,ChromaDB,financial_regulations_e5,2025-11-06 15:22:21
qwen2.5:7b,50,0.096238172650935,0.31493859866240626,0.18110839786070457,0.23298471944155477,0.6884754753112793,33.14510346889496,1657.255173444748,0.545138888888889,0.7395833333333334,0.6076388888888888,0.3467942704903484,intfloat/e5-large-v2,ChromaDB,financial_regulations_e5,2025-11-06 15:22:21
